Dataset,ExecutionTime,MemoryUsage,FoundWeight,OptimalWeight,NumberNodes,Quality
u159.tsp,0.423172,1501.84765625,54508.60980447605,42080.0,159,1.2953566968744308
rat195.tsp,0.510584,1501.84765625,3240.2235372157284,2323.0,195,1.3948443982848593
d198.tsp,0.500131,1501.84765625,19213.44282075481,15780.0,198,1.2175819278044875
kroA200.tsp,0.519557,1501.84765625,39626.728173692616,29368.0,200,1.3493165409184356
kroB200.tsp,0.544101,1501.84765625,40297.55447469762,29437.0,200,1.3689422996466223
ts225.tsp,0.618791,1501.84765625,188009.70162933244,126643.0,225,1.48456449728238
tsp225.tsp,0.801349,1256.73828125,5083.394238010095,3919.0,225,1.2971151411100013
pr226.tsp,0.686548,1240.99609375,114870.1148365011,80369.0,226,1.4292838636352463
gil262.tsp,0.753768,1239.02734375,3402.033043916938,2378.0,262,1.4306278569877788
pr264.tsp,0.755821,1238.04296875,65232.531292262356,49135.0,264,1.3276184245906657
a280.tsp,0.841475,1238.04296875,3599.40141181201,2579.0,280,1.3956577789112097
pr299.tsp,0.687544,1238.04296875,66264.09315219037,48191.0,299,1.3750304652775491
lin318.tsp,0.880598,1238.04296875,58720.498072095565,42029.0,318,1.3971424033904105
linhp318.tsp,0.764627,1237.05859375,58720.498072095565,41345.0,318,1.4202563326181052
rd400.tsp,1.2204,1236.07421875,20851.755093532494,15281.0,400,1.3645543546582353
fl417.tsp,1.232777,1235.08984375,16355.026437275359,11861.0,417,1.3788910241358536
pr439.tsp,2.14708,1234.10546875,142932.19594439006,107217.0,439,1.3331113157837848
pcb442.tsp,1.38539,1234.10546875,70914.33794645559,50778.0,442,1.3965563422437983
d493.tsp,1.777209,1233.12109375,45789.269996497285,35002.0,493,1.3081901033225898
u574.tsp,2.347968,1233.12109375,50460.0143026312,36905.0,574,1.3672947921048964
rat575.tsp,2.555574,1233.12109375,9421.641803083989,6773.0,575,1.3910588813057712
p654.tsp,2.743382,1233.12109375,49680.22855706093,34643.0,654,1.4340625395335547
d657.tsp,2.55893,1233.12109375,65546.51423272149,48912.0,657,1.3400906573585518
u724.tsp,3.870461,1233.12109375,59643.624153606164,41910.0,724,1.4231358662277778
rat783.tsp,2.661843,1233.12109375,11895.95963516079,8806.0,783,1.3508925318147615
pr1002.tsp,5.044799,1233.12109375,345478.74882063677,259045.0,1002,1.3336630655702166
u1060.tsp,5.352334,1233.12109375,303372.5907706211,224094.0,1060,1.3537738215687216
vm1084.tsp,5.635992,1232.140625,347287.420736879,239297.0,1084,1.4512819664971939
pcb1173.tsp,6.888643,1232.140625,82125.20869600904,56892.0,1173,1.4435282411588455
d1291.tsp,6.36302,1232.140625,75051.40649930481,50801.0,1291,1.4773608098128936
rl1304.tsp,8.935636,1232.140625,368719.74739838665,252948.0,1304,1.4576899101727891
rl1323.tsp,7.610006,1231.15625,386979.1341669092,270199.0,1323,1.4322004676808915
nrw1379.tsp,8.48615,1231.15625,77534.43117544062,56638.0,1379,1.368947194029461
fl1400.tsp,9.252149,1231.4375,28139.37533055174,20127.0,1400,1.3980908893800237
u1432.tsp,9.131071,1231.4375,213993.10187891437,152970.0,1432,1.3989220231346955
fl1577.tsp,10.912464,1231.4375,31466.405554654884,22249.0,1577,1.4142840376940484
d1655.tsp,12.596844,1231.4375,85772.89792787368,62128.0,1655,1.3805836004357726
vm1748.tsp,15.849827,1231.4375,481697.52905933093,336556.0,1748,1.4312552117904032
u1817.tsp,15.1063,1234.4921875,84370.20198132009,57201.0,1817,1.4749777448177495
rl1889.tsp,18.837102,1287.23046875,451306.90512745746,316536.0,1889,1.4257680173106928
d2103.tsp,19.748721,1456.60546875,123301.56413239143,80450.0,2103,1.532648404380254
u2152.tsp,22.439799,1497.76953125,94790.57199506946,64253.0,2152,1.4752707577088924
u2319.tsp,23.948334,1645.875,320549.30927146156,234256.0,2319,1.368371820877423
pr2392.tsp,27.358262,1714.20703125,535989.1026214618,378032.0,2392,1.4178405601151802
pcb3038.tsp,48.595127,2582.6015625,196565.84152807193,137694.0,3038,1.427555605386378
fl3795.tsp,78.105029,3761.4609375,41933.7693887567,28772.0,3795,1.457450625217458
fnl4461.tsp,108.390658,5108.9921875,251245.3113254404,182566.0,4461,1.376188947150293
