Dataset,ExecutionTime,MemoryUsage,FoundWeight,OptimalWeight,NumberNodes,Quality
a280.tsp,0.718858,165.4765625,3629.7203051092397,2579.0,280,1.4074138445557347
pr299.tsp,0.539594,168.28125,64646.03471992065,48191.0,299,1.341454518891923
lin318.tsp,0.620347,170.83984375,58145.441917056065,42029.0,318,1.3834600375230452
linhp318.tsp,1.000478,170.88671875,58145.441917056065,41345.0,318,1.406347609555111
rd400.tsp,1.470316,187.52734375,20250.376744292647,15281.0,400,1.3251997084151985
fl417.tsp,1.080176,190.0703125,16297.174640391935,11861.0,417,1.3740135435791194
pr439.tsp,1.195881,195.1640625,144624.15787804432,107217.0,439,1.34889204023657
pcb442.tsp,1.165195,195.78515625,69364.90250618651,50778.0,442,1.3660424299142642
d493.tsp,1.903398,206.703125,45427.08884703529,35002.0,493,1.297842661763193
u574.tsp,2.117316,226.25,49083.15193822763,36905.0,574,1.3299865042196892
rat575.tsp,2.118489,225.3828125,9438.933433360664,6773.0,575,1.3936119051174758
p654.tsp,3.623476,248.5078125,49731.89542216019,34643.0,654,1.4355539480460753
d657.tsp,2.899416,249.90625,65730.19370040316,48912.0,657,1.3438459621443237
u724.tsp,4.494138,281.7109375,57779.66789292217,41910.0,724,1.3786606512269666
rat783.tsp,2.05601,302.47265625,12054.453156740949,8806.0,783,1.3688908876607937
pr1002.tsp,3.560544,396.01171875,340872.9005996463,259045.0,1002,1.315882957013825
u1060.tsp,3.838831,420.26171875,302914.8663669418,224094.0,1060,1.3517312661960685
vm1084.tsp,4.358629,436.23046875,315268.3487491507,239297.0,1084,1.3174772301748483
pcb1173.tsp,5.062508,477.62890625,80694.8928627429,56892.0,1173,1.418387345544943
d1291.tsp,7.888999,548.76171875,74658.29731002661,50801.0,1291,1.4696225922723294
rl1304.tsp,6.689599,556.4296875,347782.57034149766,252948.0,1304,1.3749172570706139
rl1323.tsp,8.196866,568.4609375,380421.587604229,270199.0,1323,1.4079311455787364
nrw1379.tsp,7.366655,646.3515625,79156.2650653691,56638.0,1379,1.397582278070714
fl1400.tsp,7.568833,667.4609375,27915.52347719665,20127.0,1400,1.3869689212101481
u1432.tsp,8.232551,681.890625,214430.78054791197,152970.0,1432,1.4017832290508725
fl1577.tsp,10.04554,781.7109375,31223.096666973648,22249.0,1577,1.403348315293885
d1655.tsp,11.755899,854.6328125,85681.0784168341,62128.0,1655,1.3791056917466216
vm1748.tsp,13.674906,917.8515625,444658.6319423448,336556.0,1748,1.3212025099607339
u1817.tsp,13.808552,987.86328125,83501.55577440909,57201.0,1817,1.459791887806316
rl1889.tsp,16.901824,1050.8046875,449811.48817322083,316536.0,1889,1.4210436985784265
d2103.tsp,18.517253,1235.00390625,124533.87160392563,80450.0,2103,1.5479660858163533
u2152.tsp,18.746692,1300.1796875,95076.21583494876,64253.0,2152,1.4797163686512498
u2319.tsp,22.375448,1463.28515625,320532.84102777723,234256.0,2319,1.3683015206772815
pr2392.tsp,24.401849,1553.52734375,523132.9069393881,378032.0,2392,1.3838323394299639
pcb3038.tsp,46.345512,2568.7265625,196573.89922196095,137694.0,3038,1.427614124231709
fl3795.tsp,85.137384,3766.609375,39072.83254850032,28772.0,3795,1.3580158678055165
fnl4461.tsp,105.447996,5104.35546875,254671.62750690823,182566.0,4461,1.3949564952231426
